MPG,Cyl,Displacement,Horsepower,Weight,Acceleration,Year,CountryCode,Model,Scored Labels
0.186170212765957,0.6,0.470284237726098,0.293478260869565,0.614686702580096,0.535714285714286,0.333333333333333,0,chevrolet chevelle malibu classic,0.301342084948644
0.531914893617021,0.2,0.0568475452196382,0.130434782608696,0.0918627728948115,0.357142857142857,0.416666666666667,0.5,volkswagen rabbit,0.494335535922708
0.771276595744681,0.6,0.501291989664083,0.21195652173913,0.397504961723845,0.535714285714286,1,0,oldsmobile cutlass ciera (diesel),0.457808617256212
0.186170212765957,1,0.857881136950904,0.728260869565217,0.739155089311029,0.18452380952381,0.583333333333333,0,pontiac grand prix lj,0.15758484451402
0.452127659574468,0.2,0.103359173126615,0.255434782608696,0.220584065778282,0.446428571428571,0.333333333333333,1,subaru,0.470297337661195
0.50531914893617,0.2,0.10077519379845,0.217391304347826,0.241281542387298,0.446428571428571,0.5,0.5,fiat 131,0.517688437214381
0.172872340425532,1,0.728682170542636,0.673913043478261,0.723561100085058,0.202380952380952,0.583333333333333,0,chevrolet monte carlo landau,0.16801497167841
0.319148936170213,0.6,0.421188630490956,0.347826086956522,0.404309611567905,0.416666666666667,0.416666666666667,0,buick skyhawk,0.338294497706039
0.265957446808511,0.6,0.405684754521964,0.293478260869565,0.571874113977885,0.577380952380952,0.583333333333333,0,plymouth volare custom,0.274272216612785
0.425531914893617,0.2,0.186046511627907,0.157608695652174,0.263396654380493,0.535714285714286,0.333333333333333,0,chevrolet vega,0.347063177870191
0.0797872340425532,1,0.857881136950904,0.657608695652174,0.933654664020414,0.267857142857143,0.25,0,ford country,0.00139912500161354
0.425531914893617,0.2,0.0762273901808786,0.184782608695652,0.145449390416785,0.535714285714286,0.166666666666667,0,dodge colt hardtop,0.461961674641764
0.106382978723404,1,0.604651162790698,0.510869565217391,0.760136092996881,0.476190476190476,0.166666666666667,0,ford gran torino (sw),0.0317170465808057
0.452127659574468,0.2,0.0749354005167959,0,0.062943011057556,0.744047619047619,0,0.5,volkswagen 1131 deluxe sedan,0.472310521964534
0.74468085106383,0.2,0.0594315245478036,0.119565217391304,0.116813155656365,0.607142857142857,1,1,mazda glc custom l,0.671699316339468
0.265957446808511,0,0.00516795865633075,0.277173913043478,0.203288914091296,0.327380952380952,0.166666666666667,1,mazda rx2 coupe,0.533462977274444
0.651595744680851,0.2,0.0439276485788114,0.130434782608696,0.0941309895094982,0.523809523809524,0.583333333333333,1,datsun f-10 hatchback,0.613249464674219
0.159574468085106,1,0.645994832041344,0.565217391304348,0.715055287779983,0.327380952380952,0.166666666666667,0,plymouth fury iii,0.154369940539065
0.159574468085106,1,0.645994832041344,0.565217391304348,0.506379359228806,0.178571428571429,0.25,0,dodge dart custom,0.210347301759853
0.0531914893617021,1,0.645994832041344,0.891304347826087,0.785086475758435,0.327380952380952,0,0,dodge d200,-0.0398225946958105
0.372340425531915,0.2,0.134366925064599,0.228260869565217,0.381060391267366,0.535714285714286,0.416666666666667,0.5,peugeot 504,0.447633827966258
0.398936170212766,0.2,0.116279069767442,0.266304347826087,0.188545506095832,0.446428571428571,0.166666666666667,1,toyota corona hardtop,0.48720195291529
0.558510638297872,0.2,0.0749354005167959,0.114130434782609,0.105472072582932,0.5,0.583333333333333,1,subaru dl,0.648547424412238
0.106382978723404,1,0.731266149870801,0.608695652173913,0.779699461298554,0.297619047619048,0.25,0,ford ltd,0.134054614575227
0.132978723404255,1,0.857881136950904,0.701086956521739,0.808335696058974,0.208333333333333,0.0833333333333333,0,pontiac catalina brougham,0.0283511687707176
0.159574468085106,1,0.9328165374677,0.826086956521739,0.773461865608166,0.119047619047619,0,0,ford galaxie 500,0.105219801411121
0.23936170212766,1,0.617571059431525,0.456521739130435,0.536149702296569,0.238095238095238,0,0,chevrolet chevelle malibu,0.12326472634344
0.585106382978723,0.2,0.113695090439276,0.21195652173913,0.272753047916076,0.488095238095238,1,0,pontiac j2000 se hatchback,0.576961826240571
0.159574468085106,1,0.813953488372093,0.673913043478261,0.552877799829884,0.119047619047619,0,0,dodge challenger se,0.143329493145317
0.484042553191489,0.2,0.131782945736434,0.277173913043478,0.194783101786221,0.398809523809524,0.666666666666667,1,datsun 510,0.591152743618442
0.611702127659574,0.2,0.0439276485788114,0.130434782608696,0.106889707967111,0.535714285714286,0.5,1,datsun b-210,0.588949069226259
0.345744680851064,0.6,0.335917312661499,0.266304347826087,0.345903033739722,0.446428571428571,0,0,plymouth duster,0.304740129616111
0.106382978723404,1,0.728682170542636,0.565217391304348,0.874964559115396,0.386904761904762,0.333333333333333,0,buick century luxus (sw),0.0287912967951633
0.186170212765957,0.6,0.405684754521964,0.320652173913043,0.51772044230224,0.446428571428571,0.0833333333333333,0,plymouth satellite custom,0.220608409095718
0.372340425531915,0.2,0.186046511627907,0.173913043478261,0.277573008222285,0.625,0.416666666666667,0,pontiac astro,0.442822206305106
0.265957446808511,0.6,0.423772609819121,0.293478260869565,0.365182874964559,0.476190476190476,0.333333333333333,0,amc hornet,0.301779835503015
0.226063829787234,0.6,0.470284237726098,0.347826086956522,0.540686135525943,0.5,0.583333333333333,0,chevrolet concours,0.297527442275942
0.132978723404255,1,1,0.972826086956522,0.417635384179189,0.119047619047619,0,0,buick estate wagon (sw),0.231269792724864
0.132978723404255,1,0.604651162790698,0.510869565217391,0.857669407428409,0.476190476190476,0.333333333333333,0,ford gran torino (sw),0.0217465485315529
0.292553191489362,0.6,0.405684754521964,0.293478260869565,0.577828182591438,0.577380952380952,0.5,0,dodge aspen se,0.255249058890687
0.531914893617021,0.2,0.0775193798449612,0.201086956521739,0.171817408562518,0.505952380952381,0.333333333333333,0.5,audi fox,0.505301824425259
0.23936170212766,0.6,0.423772609819121,0.293478260869565,0.333427842358945,0.416666666666667,0.25,0,amc gremlin,0.301552110507192
0.106382978723404,1,0.645994832041344,0.565217391304348,0.607314998582365,0.357142857142857,0.5,0,dodge d100,0.180918851535326
0.558510638297872,0.2,0.111111111111111,0.184782608695652,0.153671675645024,0.404761904761905,0.583333333333333,0,buick opel isuzu deluxe,0.567243080408849
0.199468085106383,1,0.728682170542636,0.728260869565217,0.784519421604763,0.244047619047619,0.5,0,cadillac seville,0.103791360165607
0.297872340425532,0.6,0.341085271317829,0.21195652173913,0.383328607882053,0.464285714285714,0.666666666666667,0,ford fairmont (auto),0.404669889873476
0.398936170212766,0.2,0.134366925064599,0.277173913043478,0.248369719308194,0.416666666666667,0.333333333333333,1,honda civic,0.533361760611868
0.319148936170213,0.2,0.13953488372093,0.217391304347826,0.173802098100369,0.505952380952381,0.166666666666667,0,ford pinto runabout,0.453200578460383
0.638297872340425,0.2,0.0594315245478036,0.0380434782608696,0.0516019279841225,0.56547619047619,0.416666666666667,1,honda civic cvcc,0.665304673075988
0.718085106382979,0.2,0.0284237726098191,0.0652173913043478,0.0601077402891976,0.630952380952381,0.583333333333333,0.5,renault 5 gtl,0.598032562818617
0.132978723404255,1,0.609819121447028,0.565217391304348,0.749645591153955,0.446428571428571,0.333333333333333,0,amc matador (sw),0.112569817630879
0.345744680851064,0.2,0.186046511627907,0.141304347826087,0.225404026084491,0.654761904761905,0.0833333333333333,0,chevrolet vega (sw),0.399339282981586
0.332446808510638,0,0.0310077519379845,0.347826086956522,0.313864474057272,0.327380952380952,0.583333333333333,1,mazda rx-4,0.557371531947804
0.478723404255319,0.2,0.214470284237726,0.239130434782609,0.31811738020981,0.595238095238095,1,0,pontiac phoenix,0.623473227897029
0.50531914893617,0.2,0.186046511627907,0.239130434782609,0.18457612702013,0.446428571428571,0.0833333333333333,0,chevrolet vega 2300,0.442354827580207
0.305851063829787,0.6,0.341085271317829,0.266304347826087,0.437198752480862,0.607142857142857,0.666666666666667,0,chevrolet malibu,0.329416267516724
0.271276595744681,1,0.51421188630491,0.429347826086957,0.564785937056989,0.416666666666667,0.75,0,chevrolet malibu classic (sw),0.252048348529124
0.398936170212766,0.2,0.10077519379845,0.239130434782609,0.23164162177488,0.386904761904762,0,0.5,audi 100 ls,0.431577548440222
0.252659574468085,1,0.754521963824289,0.565217391304348,0.659767507796995,0.297619047619048,0.75,0,chrysler lebaron town @ country (sw),0.223654143370319
0.106382978723404,1,0.728682170542636,0.53804347826087,0.692373121633116,0.238095238095238,0.5,0,chevy c10,0.174538100888792
0.452127659574468,0.2,0.0775193798449612,0.239130434782609,0.184859654096966,0.446428571428571,0.25,0.5,fiat 124 sport coupe,0.48879300963436
0.212765957446809,0.6,0.421188630490956,0.347826086956522,0.650411114261412,0.773809523809524,0.416666666666667,0,buick century,0.137154403478026
0.23936170212766,0.6,0.470284237726098,0.228260869565217,0.432662319251489,0.386904761904762,0.0833333333333333,0,ford mustang,0.286565524278713
0.132978723404255,1,0.731266149870801,0.581521739130435,0.713354125318968,0.297619047619048,0.166666666666667,0,ford galaxie 500,0.158152336497311
0.478723404255319,0.2,0.0749354005167959,0.0760869565217391,0.0626594839807202,0.654761904761905,0.0833333333333333,0.5,volkswagen model 111,0.49436490132352
0.23936170212766,1,0.645994832041344,0.565217391304348,0.516869861071732,0.178571428571429,0,0,plymouth satellite,0.156512121730422
0.212765957446809,0.6,0.245478036175711,0.429347826086957,0.432945846328324,0.333333333333333,0.666666666666667,0.5,volvo 264gl,0.389112994024033
0.292553191489362,0.6,0.423772609819121,0.293478260869565,0.368868726963425,0.476190476190476,0.416666666666667,0,amc gremlin,0.307365630497744
0.585106382978723,0.2,0.00775193798449612,0.103260869565217,0.0453643322937341,0.654761904761905,0.0833333333333333,1,toyota corolla 1200,0.593144209175773
